大学,经度,纬度,排名
北京大学,0.737548089325071,0.7456580175292121,0.0
中国人民大学,0.737548089325071,0.7456580175292121,0.011235955056179775
清华大学,0.737548089325071,0.7456580175292121,0.0028089887640449437
北京交通大学,0.737548089325071,0.7456580175292121,0.12078651685393259
北京航空航天大学,0.737548089325071,0.7456580175292121,0.06741573033707865
北京理工大学,0.737548089325071,0.7456580175292121,0.07865168539325842
北京科技大学,0.737548089325071,0.7456580175292121,0.1151685393258427
北方工业大学,0.737548089325071,0.7456580175292121,0.2556179775280899
北京化工大学,0.737548089325071,0.7456580175292121,0.21348314606741572
北京工商大学,0.737548089325071,0.7456580175292121,0.05056179775280899
北京邮电大学,0.737548089325071,0.7456580175292121,0.1601123595505618
北京林业大学,0.737548089325071,0.7456580175292121,0.29213483146067415
北京师范大学,0.737548089325071,0.7456580175292121,0.0449438202247191
首都师范大学,0.737548089325071,0.7456580175292121,0.2303370786516854
北京外国语大学,0.737548089325071,0.7456580175292121,0.33146067415730335
中国传媒大学,0.737548089325071,0.7456580175292121,0.1797752808988764
北京体育大学,0.737548089325071,0.7456580175292121,0.41853932584269665
华北电力大学,0.737548089325071,0.7456580175292121,0.36235955056179775
太原理工大学,0.6382674178836779,0.6552967907520775,0.21629213483146068
内蒙古大学,0.6162626333682504,0.7854561992544671,0.3651685393258427
辽宁大学,0.9172159626852973,0.8279971120756499,0.25280898876404495
大连理工大学,0.9172159626852973,0.8279971120756499,0.07303370786516854
大连海事大学,0.9172159626852973,0.8279971120756499,0.3960674157303371
延边大学,0.9659834571382008,0.9193837215200706,0.6151685393258427
燕山大学,0.6886672953196347,0.6644263289383785,0.21067415730337077
东北农业大学,1.0,1.0,0.34269662921348315
东北林业大学,1.0,1.0,0.32303370786516855
复旦大学,0.8674579854024915,0.3676324985895543,0.0056179775280898875
同济大学,0.8674579854024915,0.3676324985895543,0.05337078651685393
上海交通大学,0.8674579854024915,0.3676324985895543,0.014044943820224719
华东理工大学,0.8674579854024915,0.3676324985895543,0.12640449438202248
东华大学,0.8674579854024915,0.3676324985895543,0.1544943820224719
华东师范大学,0.8674579854024915,0.3676324985895543,0.08707865168539326
上海师范大学,0.8674579854024915,0.3676324985895543,0.33707865168539325
上海外国语大学,0.8674579854024915,0.3676324985895543,0.34831460674157305
华东政法大学,0.8674579854024915,0.3676324985895543,0.4747191011235955
上海大学,0.8674579854024915,0.3676324985895543,0.1797752808988764
南京大学,0.7983832118758833,0.4029253074711331,0.011235955056179775
东南大学,0.7983832118758833,0.4029253074711331,0.0449438202247191
南京航空航天大学,0.7983832118758833,0.4029253074711331,0.13764044943820225
南京工业大学,0.7983832118758833,0.4029253074711331,0.2612359550561798
河海大学,0.7983832118758833,0.4029253074711331,0.10112359550561797
江南大学,0.7983832118758833,0.4029253074711331,0.22191011235955055
南通大学,0.7983832118758833,0.4029253074711331,0.5758426966292135
南京师范大学,0.7983832118758833,0.4029253074711331,0.17134831460674158
南京财经大学,0.7983832118758833,0.4029253074711331,0.7331460674157303
杭州电子科技大学,0.833899748696013,0.32524385991897836,0.25280898876404495
浙江理工大学,0.833899748696013,0.32524385991897836,0.38764044943820225
安徽大学,0.7600332000042656,0.3948868944112535,0.3258426966292135
合肥工业大学,0.7600332000042656,0.3948868944112535,0.13202247191011235
厦门大学,0.8118327338333091,0.14266641211484143,0.06179775280898876
华侨大学,0.8118327338333091,0.14266641211484143,0.3792134831460674
福州大学,0.8118327338333091,0.14266641211484143,0.18820224719101122
福建农林大学,0.8118327338333091,0.14266641211484143,0.28651685393258425
