,firstlevelIDs,collegeID_id,rank
0,817,10284,A
1,817,10247,A
2,817,10030,A
3,817,10027,A
4,817,10269,B
5,817,10487,B
6,817,10357,B
7,817,10610,B
8,817,10013,B
9,817,10486,B
10,817,10651,B
11,817,10384,B
12,817,10141,B
13,817,10033,B
14,817,10004,C
15,817,10007,C
16,817,10287,C
17,817,10701,C
18,817,10511,C
19,817,10532,C
20,817,10008,C
21,817,106111,C
22,817,10280,C
23,817,10054,C
24,817,10251,C
25,817,10255,C
26,817,10028,C
27,817,10730,C
28,817,10286,C
29,817,10010,C
30,817,10403,C
31,817,10295,C
32,817,10459,C
33,817,10022,C
34,817,10271,D
35,817,10710,D
36,817,10697,D
37,817,10635,D
38,817,10359,D
39,817,11415,D
40,817,10491,D
41,817,11413,D
42,817,10336,D
43,817,10216,D
44,817,11078,D
45,817,10140,D
46,817,10327,D
47,817,10043,D
48,817,10657,D
49,817,10626,D
50,817,11065,D
51,817,10276,D
52,817,10126,D
53,817,10386,D
54,817,10011,D
55,817,10319,D
56,817,10225,D
57,817,10385,D
58,817,10184,D
59,817,10224,D
60,817,10593,D
61,817,10759,D
62,817,10389,D
63,817,10755,D
64,817,10151,D
65,817,10304,D
66,805,10247,A
67,805,10701,A
68,805,10357,A
69,805,10487,B
70,805,10610,B
71,805,10287,B
72,805,10007,B
73,805,10384,B
74,805,10141,B
75,805,106111,C
76,805,10532,C
77,805,10054,C
78,805,10730,C
79,805,10251,C
80,805,10286,C
81,805,10255,C
82,805,10280,C
83,805,10010,C
84,805,10403,C
85,805,10635,C
86,805,11415,C
87,805,10295,D
88,805,10491,D
89,805,10140,D
90,805,10359,D
91,805,10184,D
92,805,10710,D
93,805,10657,D
94,805,10216,D
95,805,10225,D
96,805,10386,D
97,805,10011,D
98,805,11065,D
99,805,10336,D
100,805,10385,D
101,805,10593,D
102,805,10126,D
103,805,10755,D
104,805,10459,D
105,805,10304,D
106,709,10359,A
107,709,10697,B
108,709,10286,B
109,709,11415,C
110,709,10730,C
111,709,10491,C
112,709,10710,D
113,709,11413,D
114,709,10657,D
115,709,10386,D
116,709,10755,D
117,808,10487,A
118,808,10610,A
119,808,10033,A
120,808,10357,B
121,808,10486,B
122,808,106111,B
123,808,10141,B
124,808,10004,B
125,808,10054,B
126,808,10287,C
127,808,10701,C
128,808,10532,C
129,808,10286,C
130,808,10251,C
131,808,10403,C
132,808,10635,C
133,808,10359,C
134,808,11415,C
135,808,10295,C
136,808,11413,C
137,808,10280,C
138,808,10022,C
139,808,10491,C
140,808,10271,D
141,808,11065,D
142,808,11078,D
143,808,10710,D
144,808,10140,D
145,808,10459,D
146,808,10336,D
147,808,10657,D
148,808,10386,D
149,808,10216,D
150,808,10319,D
151,808,10626,D
152,808,10593,D
153,808,10225,D
154,808,10385,D
155,808,10759,D
156,808,10224,D
157,808,10755,D
158,808,10389,D
159,808,10151,D
160,808,10304,D
161,809,10247,A
162,809,10284,A
163,809,10487,A
164,809,10357,B
165,809,10007,B
166,809,10610,B
167,809,10269,B
168,809,10141,B
169,809,10013,B
170,809,10384,B
171,809,10486,B
172,809,106111,B
173,809,10004,C
174,809,10287,C
175,809,10033,C
176,809,10651,C
177,809,10532,C
178,809,10701,C
179,809,10251,C
180,809,10511,C
181,809,10280,C
182,809,10286,C
183,809,10459,C
184,809,10054,C
185,809,10255,C
186,809,11415,C
187,809,10022,C
188,809,10730,C
189,809,10028,C
190,809,10010,C
191,809,10359,D
192,809,10710,D
193,809,10336,D
194,809,10635,D
195,809,10697,D
196,809,10319,D
197,809,10657,D
198,809,10216,D
199,809,10491,D
200,809,10403,D
201,809,11065,D
202,809,10386,D
203,809,10626,D
204,809,10011,D
205,809,10327,D
206,809,10295,D
207,809,10126,D
208,809,10140,D
209,809,11078,D
210,809,10593,D
211,809,10225,D
212,809,10385,D
213,809,10759,D
214,809,10184,D
215,809,10755,D
216,809,10151,D
217,809,10389,D
218,809,10304,D
219,502,10002,A
220,502,10357,A
221,502,10030,A
222,502,10610,A
223,502,10027,B
224,502,10486,B
225,502,10284,B
226,502,10033,B
227,502,10269,B
228,502,10511,B
229,502,10247,B
230,502,10384,B
231,502,10487,B
232,502,10004,B
233,502,10013,C
234,502,10459,C
235,502,10651,C
236,502,10271,C
237,502,10287,C
238,502,10532,C
239,502,106111,C
240,502,10007,C
241,502,10701,C
242,502,10028,C
243,502,10008,C
244,502,10054,C
245,502,11413,C
246,502,10635,C
247,502,10280,C
248,502,10022,C
249,502,10011,C
250,502,10251,C
251,502,10697,C
252,502,11415,C
253,502,10730,D
254,502,10403,D
255,502,10657,D
256,502,10141,D
257,502,10010,D
258,502,10043,D
259,502,10491,D
260,502,10336,D
261,502,10295,D
262,502,11078,D
263,502,10286,D
264,502,10276,D
265,502,10255,D
266,502,10626,D
267,502,10216,D
268,502,11065,D
269,502,10225,D
270,502,10140,D
271,502,10710,D
272,502,10359,D
273,502,10386,D
274,502,10126,D
275,502,10385,D
276,502,10593,D
277,502,10319,D
278,502,10224,D
279,502,10184,D
280,502,10327,D
281,502,10759,D
282,502,10755,D
283,502,10151,D
284,502,10389,D
285,502,10304,D
286,301,10357,A
287,301,10002,A
288,301,10486,A
289,301,10027,B
290,301,10384,B
291,301,10030,B
292,301,10610,B
293,301,10651,B
294,301,10013,B
295,301,10247,B
296,301,106111,B
297,301,10269,B
298,301,10287,C
299,301,10004,C
300,301,10271,C
301,301,10487,C
302,301,11415,C
303,301,10511,C
304,301,10532,C
305,301,10276,C
306,301,10491,C
307,301,10022,C
308,301,10028,C
309,301,10043,C
310,301,10386,C
311,301,10054,C
312,301,10033,C
313,301,10635,C
314,301,10459,C
315,301,10403,C
316,301,10319,D
317,301,10295,D
318,301,10697,D
319,301,11413,D
320,301,10657,D
321,301,11065,D
322,301,11078,D
323,301,10251,D
324,301,10286,D
325,301,10010,D
326,301,10225,D
327,301,10593,D
328,301,10730,D
329,301,10140,D
330,301,10216,D
331,301,10359,D
332,301,10011,D
333,301,10224,D
334,301,10327,D
335,301,10126,D
336,301,10759,D
337,301,10385,D
338,301,10184,D
339,301,10626,D
340,301,10710,D
341,301,10336,D
342,301,10755,D
343,301,10151,D
344,301,10389,D
345,821,10255,A
346,821,10295,B
347,821,10635,C
348,821,11065,C
349,821,10755,D
350,821,10304,D
351,302,10002,A
352,302,10030,A
353,302,10247,A
354,302,10357,B
355,302,10269,B
356,302,10610,B
357,302,10511,B
358,302,10486,B
359,302,10384,B
360,302,10651,C
361,302,10710,C
362,302,10271,C
363,302,10487,C
364,302,10028,C
365,302,10635,C
366,302,10491,C
367,302,10403,C
368,302,10287,C
369,302,10327,C
370,302,10459,C
371,302,10730,C
372,302,10657,D
373,302,10319,D
374,302,10126,D
375,302,10140,D
376,302,10276,D
377,302,10697,D
378,302,10225,D
379,302,10386,D
380,302,10626,D
381,302,10184,D
382,302,10359,D
383,302,10286,D
384,302,11078,D
385,302,10011,D
386,302,10593,D
387,302,10216,D
388,302,10759,D
389,302,10755,D
390,302,10151,D
391,302,10304,D
392,401,10033,A
393,401,10269,A
394,401,10030,B
395,401,10027,B
396,401,10511,B
397,401,10403,B
398,401,10271,C
399,401,10459,C
400,401,10697,C
401,401,10635,C
402,401,10487,C
403,401,11078,C
404,401,10043,C
405,401,10126,C
406,401,10028,C
407,401,10286,D
408,401,10593,D
409,401,10385,D
410,401,10336,D
411,401,10295,D
412,401,10140,D
413,401,10224,D
414,401,10319,D
415,401,10755,D
416,401,10184,D
417,401,10759,D
418,401,10657,D
419,401,10304,D
420,1202,10002,A
421,1202,10357,A
422,1202,10487,A
423,1202,10269,A
424,1202,10486,B
425,1202,10610,B
426,1202,10027,B
427,1202,10030,B
428,1202,10384,B
429,1202,10033,B
430,1202,10013,B
431,1202,10651,B
432,1202,10141,B
433,1202,106111,C
434,1202,10532,C
435,1202,10008,C
436,1202,10271,C
437,1202,10287,C
438,1202,10054,C
439,1202,10028,C
440,1202,10010,C
441,1202,10459,C
442,1202,10251,C
443,1202,10635,C
444,1202,10511,C
445,1202,10286,C
446,1202,10491,C
447,1202,10403,C
448,1202,10280,C
449,1202,10022,C
450,1202,10043,C
451,1202,10386,D
452,1202,10697,D
453,1202,10295,D
454,1202,11413,D
455,1202,10710,D
456,1202,10730,D
457,1202,11415,D
458,1202,11078,D
459,1202,10276,D
460,1202,10011,D
461,1202,11065,D
462,1202,10336,D
463,1202,10216,D
464,1202,10657,D
465,1202,10359,D
466,1202,10385,D
467,1202,10593,D
468,1202,10626,D
469,1202,10140,D
470,1202,10319,D
471,1202,10225,D
472,1202,10327,D
473,1202,10126,D
474,1202,10224,D
475,1202,10184,D
476,1202,10759,D
477,1202,10151,D
478,1202,10755,D
479,1202,10389,D
480,1202,10304,D
481,703,10486,A
482,703,10487,A
483,703,10269,A
484,703,10013,B
485,703,10027,B
486,703,10610,B
487,703,10511,B
488,703,10033,B
489,703,10007,B
490,703,10141,C
491,703,10287,C
492,703,10008,C
493,703,10532,C
494,703,10701,C
495,703,10054,C
496,703,106111,C
497,703,10028,C
498,703,10336,C
499,703,10295,C
500,703,10697,C
501,703,10635,C
502,703,10251,C
503,703,10010,C
504,703,10286,D
505,703,11078,D
506,703,10022,D
507,703,10359,D
508,703,10491,D
509,703,10710,D
510,703,10403,D
511,703,10216,D
512,703,10011,D
513,703,10386,D
514,703,10126,D
515,703,10319,D
516,703,11065,D
517,703,10225,D
518,703,10385,D
519,703,10593,D
520,703,10755,D
521,703,10151,D
522,703,10759,D
523,703,10459,D
524,703,10304,D
525,830,10027,A
526,830,10487,A
527,830,10610,B
528,830,10287,B
529,830,11415,B
530,830,10251,B
531,830,10010,B
532,830,10403,C
533,830,106111,C
534,830,10022,C
535,830,10295,C
536,830,10216,C
537,830,10126,C
538,830,10359,C
539,830,10386,C
540,830,10626,C
541,830,10336,C
542,830,10491,D
543,830,11078,D
544,830,10593,D
545,830,10225,D
546,830,11065,D
547,830,10140,D
548,830,10385,D
549,830,10011,D
550,830,10184,D
551,830,10759,D
552,830,10389,D
553,830,10755,D
554,830,10151,D
