:START_ID,has,:TYPE,:END_ID
c10759,has,HAS,M228
c10759,has,HAS,M229
c10759,has,HAS,M230
c10759,has,HAS,M231
c10759,has,HAS,M232
c10759,has,HAS,M233
c10759,has,HAS,M234
c10759,has,HAS,M235
c10759,has,HAS,M236
c10759,has,HAS,M237
c10759,has,HAS,M238
c10759,has,HAS,M239
c10759,has,HAS,M240
c10759,has,HAS,M241
c10759,has,HAS,M242
c10759,has,HAS,M243
c10759,has,HAS,M244
c10759,has,HAS,M245
c10759,has,HAS,M246
c10759,has,HAS,M247
c10759,has,HAS,M248
c10759,has,HAS,M249
c10759,has,HAS,M250
c10759,has,HAS,M251
c10759,has,HAS,M252
c10759,has,HAS,M253
c10759,has,HAS,M254
c10759,has,HAS,M255
c10759,has,HAS,M256
c10759,has,HAS,M257
c10759,has,HAS,M258
c10759,has,HAS,M259
c10759,has,HAS,M260
c10759,has,HAS,M261
c10759,has,HAS,M262
c10759,has,HAS,M263
c10759,has,HAS,M264
c10759,has,HAS,M265
c10759,has,HAS,M46
c10759,has,HAS,M266
c10759,has,HAS,M9
c10759,has,HAS,M267
c10759,has,HAS,M268
c10759,has,HAS,M269
c10759,has,HAS,M270
c10759,has,HAS,M271
c10759,has,HAS,M272
c10759,has,HAS,M273
c10759,has,HAS,M274
c10759,has,HAS,M275
c10759,has,HAS,M276
c10759,has,HAS,M277
c10759,has,HAS,M278
c10759,has,HAS,M279
c10006,has,HAS,M280
c10006,has,HAS,M281
c10006,has,HAS,M282
c10006,has,HAS,M70
c10006,has,HAS,M283
c10006,has,HAS,M284
c10006,has,HAS,M285
c10006,has,HAS,M279
c10006,has,HAS,M280
c10006,has,HAS,M286
c10006,has,HAS,M287
c10006,has,HAS,M288
c10006,has,HAS,M289
c10006,has,HAS,M290
c10006,has,HAS,M291
c10006,has,HAS,M292
c10007,has,HAS,M293
c10007,has,HAS,M294
c10007,has,HAS,M295
c10007,has,HAS,M296
c10007,has,HAS,M297
c10007,has,HAS,M298
c10007,has,HAS,M299
c10007,has,HAS,M300
c10007,has,HAS,M301
c10007,has,HAS,M302
c10007,has,HAS,M303
c10007,has,HAS,M304
c10007,has,HAS,M292
c10007,has,HAS,M305
c10007,has,HAS,M306
c10007,has,HAS,M292
c10007,has,HAS,M74
c10007,has,HAS,M307
c10007,has,HAS,M308
c10007,has,HAS,M309
c10007,has,HAS,M310
c10007,has,HAS,M311
c10007,has,HAS,M301
c10007,has,HAS,M300
c10007,has,HAS,M303
c10007,has,HAS,M74
c10007,has,HAS,M304
c10007,has,HAS,M312
c10007,has,HAS,M313
c10007,has,HAS,M314
c10007,has,HAS,M315
c10007,has,HAS,M316
c10007,has,HAS,M317
c10007,has,HAS,M318
c10007,has,HAS,M319
c10007,has,HAS,M320
c10007,has,HAS,M321
c10007,has,HAS,M322
c10007,has,HAS,M323
c10007,has,HAS,M324
c10007,has,HAS,M320
c10007,has,HAS,M319
c10007,has,HAS,M322
c10007,has,HAS,M323
c10007,has,HAS,M325
c10007,has,HAS,M326
c10007,has,HAS,M327
c10007,has,HAS,M328
c10007,has,HAS,M329
c10007,has,HAS,M69
c10007,has,HAS,M330
c10007,has,HAS,M331
c10007,has,HAS,M332
c10007,has,HAS,M333
c10007,has,HAS,M75
c10007,has,HAS,M334
c10007,has,HAS,M335
c10007,has,HAS,M285
c10007,has,HAS,M1
c10007,has,HAS,M336
c10007,has,HAS,M337
c10007,has,HAS,M338
c10007,has,HAS,M339
c10007,has,HAS,M340
c10007,has,HAS,M341
c10007,has,HAS,M342
c10007,has,HAS,M343
c10007,has,HAS,M344
c10007,has,HAS,M345
c10007,has,HAS,M346
c10007,has,HAS,M347
c10007,has,HAS,M348
c10007,has,HAS,M338
c10007,has,HAS,M342
c10007,has,HAS,M340
c10007,has,HAS,M337
c10007,has,HAS,M341
c10007,has,HAS,M346
c10007,has,HAS,M345
c10007,has,HAS,M349
c10007,has,HAS,M8
c10008,has,HAS,M350
c10008,has,HAS,M87
c10008,has,HAS,M4
c10008,has,HAS,M351
c10008,has,HAS,M69
c10008,has,HAS,M352
c10008,has,HAS,M333
c10008,has,HAS,M75
c10008,has,HAS,M353
c10008,has,HAS,M354
c10008,has,HAS,M111
c10008,has,HAS,M177
c10008,has,HAS,M166
c10008,has,HAS,M355
c10008,has,HAS,M356
c10008,has,HAS,M67
c10008,has,HAS,M10
c10008,has,HAS,M38
c10008,has,HAS,M36
c10008,has,HAS,M33
c10008,has,HAS,M8
c10008,has,HAS,M357
c10008,has,HAS,M358
c10008,has,HAS,M359
c10008,has,HAS,M1
c10008,has,HAS,M360
c10010,has,HAS,M354
c10010,has,HAS,M361
c10010,has,HAS,M362
c10010,has,HAS,M363
c10010,has,HAS,M364
c10010,has,HAS,M365
c10010,has,HAS,M366
c10010,has,HAS,M367
c10010,has,HAS,M368
c10010,has,HAS,M151
c10010,has,HAS,M351
c10010,has,HAS,M75
c10010,has,HAS,M202
c10010,has,HAS,M333
c10010,has,HAS,M4
c10010,has,HAS,M94
c10010,has,HAS,M369
c10010,has,HAS,M360
c10010,has,HAS,M370
c10010,has,HAS,M371
c10010,has,HAS,M372
c10010,has,HAS,M373
c10010,has,HAS,M374
c10010,has,HAS,M154
c10010,has,HAS,M87
c10010,has,HAS,M375
c10010,has,HAS,M376
c10010,has,HAS,M264
c10010,has,HAS,M377
c10010,has,HAS,M177
c10010,has,HAS,M261
c10010,has,HAS,M378
c10010,has,HAS,M69
c10010,has,HAS,M331
c10010,has,HAS,M93
c10010,has,HAS,M379
c10010,has,HAS,M39
c10010,has,HAS,M3
c10010,has,HAS,M38
c10010,has,HAS,M263
c10010,has,HAS,M171
c10010,has,HAS,M380
c10010,has,HAS,M381
c10010,has,HAS,M144
c10010,has,HAS,M382
c10010,has,HAS,M383
c10010,has,HAS,M384
c10013,has,HAS,M331
c10013,has,HAS,M75
c10013,has,HAS,M333
c10013,has,HAS,M76
c10013,has,HAS,M385
c10013,has,HAS,M386
c10013,has,HAS,M387
c10013,has,HAS,M388
c10013,has,HAS,M389
c10013,has,HAS,M390
c10013,has,HAS,M144
c10013,has,HAS,M391
c10013,has,HAS,M392
c10013,has,HAS,M393
c10013,has,HAS,M151
c10013,has,HAS,M116
c10013,has,HAS,M38
c10013,has,HAS,M36
c10013,has,HAS,M3
c10013,has,HAS,M384
c10013,has,HAS,M394
c10013,has,HAS,M395
c10013,has,HAS,M146
c10013,has,HAS,M264
c10013,has,HAS,M143
c10013,has,HAS,M396
c10013,has,HAS,M397
c10013,has,HAS,M351
c10013,has,HAS,M398
c10013,has,HAS,M399
c10013,has,HAS,M400
c10013,has,HAS,M401
c10013,has,HAS,M263
c10013,has,HAS,M402
c10013,has,HAS,M403
c10013,has,HAS,M404
c10013,has,HAS,M381
c10013,has,HAS,M378
c10013,has,HAS,M405
c10013,has,HAS,M406
c10013,has,HAS,M4
c10013,has,HAS,M407
c10013,has,HAS,M0
c11417,has,HAS,M351
c11417,has,HAS,M0
c11417,has,HAS,M391
c11417,has,HAS,M392
c11417,has,HAS,M393
c10022,has,HAS,M0
c10022,has,HAS,M408
c10022,has,HAS,M112
c10022,has,HAS,M82
c10022,has,HAS,M105
c10022,has,HAS,M409
c10022,has,HAS,M410
c10022,has,HAS,M411
c10022,has,HAS,M160
c10022,has,HAS,M81
c10022,has,HAS,M412
c10022,has,HAS,M4
c10022,has,HAS,M413
c10022,has,HAS,M414
c10022,has,HAS,M84
c10022,has,HAS,M415
c10022,has,HAS,M378
c10022,has,HAS,M416
c10022,has,HAS,M75
c10022,has,HAS,M3
c10022,has,HAS,M417
c10022,has,HAS,M144
c10022,has,HAS,M131
c10022,has,HAS,M145
c10022,has,HAS,M418
c10022,has,HAS,M419
c10022,has,HAS,M420
c10022,has,HAS,M151
c10022,has,HAS,M421
c10022,has,HAS,M38
c10022,has,HAS,M422
c10022,has,HAS,M163
c10022,has,HAS,M155
c10022,has,HAS,M36
c10022,has,HAS,M94
c10022,has,HAS,M423
c10022,has,HAS,M146
c10022,has,HAS,M147
c10022,has,HAS,M424
c10022,has,HAS,M425
c10022,has,HAS,M426
c10022,has,HAS,M427
c10022,has,HAS,M99
c10022,has,HAS,M351
c10022,has,HAS,M264
c10033,has,HAS,M410
c10033,has,HAS,M82
c10033,has,HAS,M144
c10033,has,HAS,M131
c10033,has,HAS,M151
c10033,has,HAS,M419
c10033,has,HAS,M416
c10033,has,HAS,M99
c10033,has,HAS,M145
c10033,has,HAS,M264
c10033,has,HAS,M75
c10033,has,HAS,M420
c10033,has,HAS,M414
c10033,has,HAS,M415
c10033,has,HAS,M94
c10033,has,HAS,M4
c10033,has,HAS,M81
c10033,has,HAS,M417
c10033,has,HAS,M411
c10033,has,HAS,M84
c10033,has,HAS,M409
c10033,has,HAS,M155
c10033,has,HAS,M112
c10033,has,HAS,M38
c10033,has,HAS,M3
c10033,has,HAS,M422
c10033,has,HAS,M408
c10033,has,HAS,M163
c10033,has,HAS,M160
c10033,has,HAS,M412
c10033,has,HAS,M105
c10033,has,HAS,M351
c10033,has,HAS,M36
c10033,has,HAS,M424
c10033,has,HAS,M423
c10033,has,HAS,M147
c10033,has,HAS,M413
c10033,has,HAS,M378
c10033,has,HAS,M421
c10033,has,HAS,M425
c10033,has,HAS,M428
c10033,has,HAS,M429
c10033,has,HAS,M430
c10033,has,HAS,M156
c10033,has,HAS,M353
c10033,has,HAS,M431
c10033,has,HAS,M432
c10033,has,HAS,M433
c10033,has,HAS,M88
c10033,has,HAS,M394
c10033,has,HAS,M434
c10033,has,HAS,M276
c10033,has,HAS,M435
c10033,has,HAS,M436
c10033,has,HAS,M7
c10033,has,HAS,M437
c10033,has,HAS,M438
c10033,has,HAS,M439
c10033,has,HAS,M440
c10033,has,HAS,M441
c10033,has,HAS,M442
c10033,has,HAS,M443
c10033,has,HAS,M444
c10033,has,HAS,M139
c10033,has,HAS,M445
c10033,has,HAS,M446
