,0,1,2
191,10013,经济学,D
192,10013,机械工程,B
193,10013,机械工程,D
194,10013,邮政工程,D
195,10013,工商管理类,D
196,10013,国际经济与贸易（文科）,B
197,10013,国际经济与贸易（文科）,D
198,10013,法学（文科）,D
199,10013,公共事业管理（文科）,D
200,10013,英语（文科）,C
201,10013,电信工程及管理（中外合作办学）,D
202,10013,物联网工程（中外合作办学）,D
203,10013,电子商务及法律（中外合作办学）,C
204,10022,会计学,D
205,10022,法学,A
206,10022,法学,D
207,10022,风景园林,D
208,10022,英语,D
209,10022,旅游管理,A
210,10022,旅游管理,D
211,10022,应用心理学,D
212,10022,农林经济管理,D
213,10022,园林,B
214,10022,园林,D
215,10022,金融学,D
216,10022,城乡规划（五年制）,D
217,10022,园艺（观赏园艺方向）,B
218,10022,园艺（观赏园艺方向）,D
219,10022,国际经济与贸易,D
220,10022,应用心理学,D
221,10022,计算机类,B
222,10022,计算机类,D
223,10022,电子信息科学与技术,D
224,10022,商务英语,D
225,10022,环境工程,B
226,10022,环境工程,D
227,10022,土木工程,D
228,10022,统计学,D
229,10022,数学与应用数学,C
230,10022,食品科学与工程,D
231,10022,法学,D
232,10022,工商管理类,C
233,10022,电气工程及其自动化,D
234,10022,林学类,D
235,10022,水土保持与荒漠化防治,C
236,10022,信息管理与信息系统,D
237,10022,地理信息科学,D
238,10022,机械设计制造及其自动化,C
239,10022,林业工程类,D
240,10022,车辆工程,D
241,10022,草业科学（草坪科学与管理方向）,C
242,10022,生物科学类,D
243,10022,旅游管理,D
244,10022,野生动物与自然保护区管理,D
245,10022,自然地理与资源环境,D
246,10022,工商管理类,D
247,10022,土木工程,D
248,10022,木材科学与工程（中加合作办学项目）,D
249,10027,国际经济与贸易（瀚德实验2班葡萄牙语，仅招有专业志愿考生）,D
250,10027,理科试验班（可选专业：数学、物理学、化学、生物学）,A
251,10027,理科试验班（可选专业：数学、物理学、化学、生物学）,D
252,10027,数学与应用数学,D
253,10027,化学,D
254,10027,地理科学类（基地班：自然地理与资源环境、人文地理与城乡规划、地理信息科学）,A
255,10027,地理科学类（基地班：自然地理与资源环境、人文地理与城乡规划、地理信息科学）,D
256,10027,心理学,D
257,10027,生物科学类（生物科学、生物技术、生态学）,D
258,10027,无数据,B
259,10027,无数据,D
260,10027,汉语言文学,D
261,10027,计算机科学与技术,D
262,10027,无数据,B
263,10027,无数据,D
264,10027,物理学（协同创新实验班）,D
265,10027,物理学（基地班）,D
