:START_ID,need_score,:END_ID,:TYPE
m163,630,y2,NEED_SCORE
m164,650,y2,NEED_SCORE
m165,599,y2,NEED_SCORE
m166,608,y2,NEED_SCORE
m167,606,y2,NEED_SCORE
m168,660,y2,NEED_SCORE
m169,655,y2,NEED_SCORE
m170,677,y2,NEED_SCORE
m171,621,y2,NEED_SCORE
m172,648,y2,NEED_SCORE
m173,626,y2,NEED_SCORE
m174,666,y2,NEED_SCORE
m175,690,y2,NEED_SCORE
m176,674,y2,NEED_SCORE
m177,631,y2,NEED_SCORE
m178,688,y2,NEED_SCORE
m179,663,y2,NEED_SCORE
m180,686,y2,NEED_SCORE
m181,593,y2,NEED_SCORE
m182,655,y2,NEED_SCORE
m183,657,y2,NEED_SCORE
m184,679,y2,NEED_SCORE
m185,669,y2,NEED_SCORE
m186,688,y2,NEED_SCORE
m187,675,y2,NEED_SCORE
m188,682,y2,NEED_SCORE
m189,771,y2,NEED_SCORE
m190,784,y2,NEED_SCORE
m191,627,y2,NEED_SCORE
m192,671,y2,NEED_SCORE
m193,648,y2,NEED_SCORE
m194,681,y2,NEED_SCORE
m195,648,y2,NEED_SCORE
m196,679,y2,NEED_SCORE
m197,651,y2,NEED_SCORE
m198,664,y2,NEED_SCORE
m199,665,y2,NEED_SCORE
m200,679,y2,NEED_SCORE
m201,670,y1,NEED_SCORE
m202,648,y1,NEED_SCORE
m203,671,y1,NEED_SCORE
m204,668,y1,NEED_SCORE
m205,649,y1,NEED_SCORE
m206,637,y1,NEED_SCORE
m207,659,y1,NEED_SCORE
m208,627,y1,NEED_SCORE
m209,668,y1,NEED_SCORE
m210,647,y1,NEED_SCORE
m211,659,y1,NEED_SCORE
m212,681,y1,NEED_SCORE
m213,669,y1,NEED_SCORE
m214,708,y1,NEED_SCORE
m215,873,y1,NEED_SCORE
m216,860,y1,NEED_SCORE
m217,691,y1,NEED_SCORE
m218,669,y1,NEED_SCORE
m219,673,y1,NEED_SCORE
m220,662,y1,NEED_SCORE
m221,678,y1,NEED_SCORE
m222,636,y1,NEED_SCORE
m223,678,y1,NEED_SCORE
m224,662,y1,NEED_SCORE
m225,675,y1,NEED_SCORE
m226,669,y1,NEED_SCORE
m227,689,y1,NEED_SCORE
m228,670,y1,NEED_SCORE
m229,413,y1,NEED_SCORE
m230,419,y1,NEED_SCORE
m231,672,y1,NEED_SCORE
m232,650,y1,NEED_SCORE
m233,682,y1,NEED_SCORE
m234,645,y1,NEED_SCORE
m235,678,y1,NEED_SCORE
m236,627,y1,NEED_SCORE
m237,654,y1,NEED_SCORE
m238,666,y1,NEED_SCORE
m239,634,y1,NEED_SCORE
m240,613,y1,NEED_SCORE
m241,684,y1,NEED_SCORE
m242,662,y1,NEED_SCORE
m243,646,y1,NEED_SCORE
m244,645,y1,NEED_SCORE
m245,697,y1,NEED_SCORE
m246,670,y1,NEED_SCORE
m247,603,y1,NEED_SCORE
m248,605,y1,NEED_SCORE
m249,687,y1,NEED_SCORE
m250,652,y1,NEED_SCORE
m251,685,y1,NEED_SCORE
m252,665,y1,NEED_SCORE
m253,665,y1,NEED_SCORE
m254,650,y1,NEED_SCORE
m255,690,y1,NEED_SCORE
m256,683,y1,NEED_SCORE
m257,698,y1,NEED_SCORE
m258,700,y1,NEED_SCORE
m259,691,y1,NEED_SCORE
m260,663,y1,NEED_SCORE
m261,603,y1,NEED_SCORE
m262,605,y1,NEED_SCORE
m263,605,y1,NEED_SCORE
m264,655,y1,NEED_SCORE
