major (origin),major2 (disambiguated),ID
药物制剂,药学,1007
药学,药学,1007
药学 ,药学,1007
药学(专项理）,药学,1007
药学（专科）,药学,1007
药学（生物药学基地班）,药学,1007
药学(全英文创新实验班),药学,1007
药学(全英文科教学),药学,1007
药学（创新实验班）,药学,1007
药学（国家贫困专项）,药学,1007
药学(南单理）,药学,1007
药学类,药学,1007
药学类(含药学、药物制剂专业),药学,1007
药学类（药学、药物制剂）,药学,1007
标准化工程,"工商管理;农林经济管理;公共管理;图书情报与档案管理",1202;1203;1204;1205
轻工类,轻工技术与工程,822
轻工类(中外合作办学)(轻化工程),轻工技术与工程,822
轻工类(含印刷工程、包装工程),轻工技术与工程,822
轻化工程,轻工技术与工程,822
轻化工程(中外合作办学),轻工技术与工程,822
临床医学,临床医学,1002
临床医学 ,临床医学,1002
临床医学(5+3),临床医学,1002
临床医学(5+3一体化),临床医学,1002
临床医学（5+3一体化培养）,临床医学,1002
临床医学(5+3一体化培养),临床医学,1002
临床医学（八年）,临床医学,1002
临床医学(八年),临床医学,1002
临床医学(八年制),临床医学,1002
临床医学（八年制）,临床医学,1002
临床医学(口腔),口腔医学,1003
临床医学（口腔医学）,口腔医学,1003
临床医学(专项理）,临床医学,1002
临床医学（专科）,临床医学,1002
临床医学(五加三一体化),临床医学,1002
临床医学（五年）,临床医学,1002
临床医学(五年),临床医学,1002
临床医学（五年制）,临床医学,1002
临床医学（分院）,临床医学,1002
临床医学（六年、临床医学专业中德实验班）,临床医学,1002
临床医学（六年制中德实验班）,临床医学,1002
临床医学(本硕连读),临床医学,1002
临床医学（本硕博贯通培养）,临床医学,1002
临床医学(本博连读),临床医学,1002
临床医学(汉语),临床医学,1002
临床医学（民考汉）,临床医学,1002
临床医学(免费医学定向),临床医学,1002
临床医学（国家贫困专项）,临床医学,1002
临床医学（学制5年）,临床医学,1002
临床医学（定向）,临床医学,1002
临床医学（贯通培养）,临床医学,1002
临床医学（南疆单列专科）,临床医学,1002
临床医学(藏语),临床医学,1002
临床医学类,临床医学,1002
临床医学类 ,临床医学,1002
临床医学类（中外合作办学）,临床医学,1002
临床药学,临床医学,1002
临床药学 ,临床医学,1002
思想政治教育,马克思主义理论,305
思想政治教育 ,马克思主义理论,305
思想政治教育（公费师范）,马克思主义理论,305
思想政治教育（公费师范） ,马克思主义理论,305
思想政治教育（双语类）,马克思主义理论,305
思想政治教育(师范),马克思主义理论,305
思想政治教育（师范）,马克思主义理论,305
思想政治教育（免费师范）,马克思主义理论,305
思想政治教育（单列）,马克思主义理论,305
思想政治教育（单列类）,马克思主义理论,305
思想政治教育（预科）,马克思主义理论,305
思想政治教育（普通类）,马克思主义理论,305
思想政治教育（藏）,马克思主义理论,305
种子科学与工程,农业工程,828
科技与创意设计试验班,计算机科学与技术,812
科学教育,教育学,401
科学教育（师范）,教育学,401
科学教育（师范类）,教育学,401
科学教育学,教育学,401
复合材料与工程,材料科学与工程,805
保险学,应用经济学,202
保险学  (  保险与风险管理  ),应用经济学,202
保险学  (  保险精算  ),应用经济学,202
保险学（财务与会计双语实验班）,应用经济学,202
保险学（精算双语实验班）,应用经济学,202
俄语,外国语言文学,502
俄语 ,外国语言文学,502
俄语（文史）,外国语言文学,502
俄语（双语类）,外国语言文学,502
俄语（金融）,外国语言文学;应用经济学,502;202
俄语（单列）,外国语言文学,502
俄语（单列类）,外国语言文学,502
俄语（俄语翻译）,外国语言文学,502
俄语（理工）,外国语言文学,502
俄语（普通类）,外国语言文学,502
信用管理,"工商管理;农林经济管理;公共管理;图书情报与档案管理",1202;1203;1204;1205
信息工程,信息与通讯工程,810
信息工程（航天信息应用）,信息与通讯工程,810
信息与计算科学,信息与通讯工程,810
信息与计算科学（双语类）,信息与通讯工程,810
信息与计算科学（单列）,信息与通讯工程,810
信息与计算科学（单列类）,信息与通讯工程,810
信息与计算科学（普通类）,信息与通讯工程,810
信息与通信工程类,信息与通讯工程,810
信息对抗技术,信息与通讯工程,810
信息安全,信息与通讯工程,810
信息安全(中外合作办学),信息与通讯工程,810
信息安全（双语类）,信息与通讯工程,810
信息安全（民）,信息与通讯工程,810
信息安全(民),信息与通讯工程,810
信息安全(网络空间安全类),信息与通讯工程,810
信息安全（单列）,信息与通讯工程,810
信息安全（单列四年）,信息与通讯工程,810
信息安全（单列类）,信息与通讯工程,810
信息安全（按网络空间安全类招生）,信息与通讯工程,810
信息安全(按网络空间安全类培养),信息与通讯工程,810
信息安全（普通类）,信息与通讯工程,810
信息科学技术,信息与通讯工程,810
信息科学技术(民族班),信息与通讯工程,810
信息科学技术(国家专项),信息与通讯工程,810
信息科学技术（国家专项）,信息与通讯工程,810
信息资源管理,信息与通讯工程,810
信息资源管理（民考汉）,信息与通讯工程,810
信息资源管理（国家专项）,信息与通讯工程,810
信息管理与信息系统,信息与通讯工程,810
信息管理与信息系统 ,信息与通讯工程,810
信息管理与信息系统（大数据与商务分析）,信息与通讯工程,810
信息管理与信息系统（大数据与商务分析方向）,信息与通讯工程,810
信息管理与信息系统(计算机信息网络),信息与通讯工程,810
信息管理与信息系统（医学信息）,信息与通讯工程,810
