专业,科目
眼科学:[生物,化学]
耳鼻咽喉科学:[生物,化学]
肿瘤学:[生物,化学]
康复医学与理疗学:[生物,化学]
运动医学:[生物,化学]
麻醉学:[生物,化学]
急诊医学:[生物,化学]
口腔医学:[生物,化学]
口腔基础医学:[生物,化学]
口腔临床医学:[生物,化学]
公共卫生与预防医学:[生物,化学]
流行病与卫生统计学:[生物,化学]
劳动卫生与环境卫生学:[生物,化学]
营养与食品卫生学:[生物,化学]
儿少卫生与妇幼保健学:[生物,化学]
卫生毒理学:[生物,化学]
军事预防医学:[生物,化学]
中医学:[生物,化学]
中医基础理论:[生物,化学]
中医临床基础:[生物,化学]
中医医史文献:[生物,化学]
方剂学:[生物,化学]
中医诊断学:[生物,化学]
中医内科学:[生物,化学]
中医外科学:[生物,化学]
中医骨伤科学:[生物,化学]
中医妇科学:[生物,化学]
中医儿科学:[生物,化学]
中医五官科学:[生物,化学]
针灸推拿学:[生物,化学]
民族医学（含：藏医学、蒙医学等）:[生物,化学]
中西医结合:[生物,化学]
中西医结合基础:[生物,化学]
中西医结合临床:[生物,化学]
药学:[生物,化学]
药物化学:[生物,化学]
药剂学:[生物,化学]
生药学:[生物,化学]
药物分析学:[生物,化学]
微生物与生化药学:[生物,化学]
药理学:[生物,化学]
军事思想及军事历史:[政治,历史]
军事思想:[政治,历史]
军事历史:[政治,历史]
战略学:[政治,历史]
军事战略学:[政治,历史]
战争动员学:[政治,历史]
战役学:[政治,历史]
联合战役学:[政治,历史]
军种战役学（含：第二炮兵战役学）:[政治,历史]
战术学:[政治,历史]
合同战术学:[政治,历史]
兵种战术学:[政治,历史]
军队指挥学:[政治,历史]
作战指挥学:[政治,历史]
军事运筹学:[政治,历史]
军事通信学:[政治,历史]
军事情报学:[政治,历史]
密码学:[政治,历史]
军事教育训练学（含：军事体育学）:[政治,历史]
军制学:[政治,历史]
军事组织编制学:[政治,历史]
军队管理学:[政治,历史]
军事后勤学与军事装备学:[政治,历史]
军事后勤学:[政治,历史]
后方专业勤务:[政治,历史]
军事装备学:[政治,历史]
工商管理:[政治,数学]
会计学:[政治,数学]
企业管理（含：财务管理、市场营销、人力资源管理）:[政治,数学]
旅游管理:[政治,数学]
技术经济及管理:[政治,数学]
农林经济管理:[政治,数学]
农业经济管理:[政治,数学]
林业经济管理:[政治,数学]
公共管理:[政治,数学]
行政管理:[政治,数学]
社会医学与卫生事业管理:[政治,数学]
教育经济与管理:[政治,数学]
社会保障:[政治,数学]
土地资源管理:[政治,数学]
图书馆情报与档案管理:[政治,数学]
图书馆学:[政治,数学]
情报学:[政治,数学]
档案学:[政治,数学]

