Displine:ID,Name,:LABEL
1,哲学,displine
101,哲学,displine
2,经济学,displine
201,理论经济学,displine
202,应用经济学,displine
3,法学,displine
301,法学,displine
302,政治学,displine
303,社会学,displine
304,民族学,displine
305,马克思主义理论,displine
4,教育学,displine
401,教育学,displine
402,心理学,displine
403,体育学,displine
5,文学,displine
501,中国语言文学,displine
502,外国语言文学,displine
503,新闻传播学,displine
504,艺术学,displine
6,历史学,displine
601,历史学,displine
7,理学,displine
701,数学,displine
702,物理学,displine
703,化学,displine
704,天文学,displine
705,地理学,displine
706,大气科学,displine
707,海洋科学,displine
708,地球物理学,displine
709,地质学,displine
710,生物学,displine
711,系统科学,displine
8,工学,displine
801,力学,displine
802,机械工程,displine
804,仪器科学与技术,displine
805,材料科学与工程,displine
806,冶金工程,displine
807,动力工程及工程热物理,displine
808,电气工程,displine
809,电子科学与技术,displine
810,信息与通讯工程,displine
811,控制科学与工程,displine
812,计算机科学与技术,displine
813,建筑学,displine
814,土木工程,displine
815,水利工程,displine
816,测绘科学与技术,displine
817,化学工程与技术,displine
818,地质资源与地质工程,displine
819,矿业工程,displine
820,石油与天然气工程,displine
821,纺织科学与工程,displine
822,轻工技术与工程,displine
823,交通运输工程,displine
824,船舶与海洋工程,displine
825,航空宇航科学与技术,displine
826,兵器科学与技术,displine
827,核科学与技术,displine
828,农业工程,displine
829,林业工程,displine
830,环境科学与工程,displine
832,食品科学与工程,displine
9,农学,displine
901,作物学,displine
902,园艺学,displine
903,农业资源与环境,displine
904,植物保护,displine
905,畜牧学,displine
906,兽医学,displine
907,林学,displine
908,水产,displine
10,医学,displine
1001,基础医学,displine
1002,临床医学,displine
1003,口腔医学,displine
1004,公共卫生与预防医学,displine
1005,中医学,displine
1006,中西医结合,displine
1007,药学,displine
11,军事学,displine
1101,军事思想及军事历史,displine
1102,战略学,displine
1103,战役学,displine
1104,战术学,displine
1105,军队指挥学,displine
1106,军制学,displine
1108,军事后勤学与军事装备学,displine
12,管理学,displine
1202,工商管理,displine
1203,农林经济管理,displine
1204,公共管理,displine
1205,图书情报与档案管理,displine
13,实验班,displine
1301,文科实验班,displine
1302,理科实验班,displine
1303,工科实验班,displine
1304,all,displine
14,xx学院,displine
1401,弘毅学堂,displine
1402,茅以升学院,displine
1403,徐特立英才班,displine
