:START_ID,:END_ID,:TYPE
c10003,m290,HAS
c10003,m291,HAS
c10003,m292,HAS
c10003,m293,HAS
c10003,m294,HAS
c10003,m295,HAS
c10003,m296,HAS
c10003,m297,HAS
c10003,m298,HAS
c10003,m299,HAS
c10003,m300,HAS
c10003,m301,HAS
c10003,m302,HAS
c10003,m303,HAS
c10001,m304,HAS
c10001,m305,HAS
c10001,m306,HAS
c10001,m307,HAS
c10001,m308,HAS
c10001,m309,HAS
c10001,m310,HAS
c10001,m311,HAS
c10001,m312,HAS
c10001,m313,HAS
c10001,m314,HAS
c10001,m315,HAS
c10001,m316,HAS
c10001,m317,HAS
c10001,m318,HAS
c10001,m319,HAS
c10001,m320,HAS
c10001,m321,HAS
c10001,m322,HAS
c10001,m323,HAS
c10001,m324,HAS
c10001,m325,HAS
c10001,m326,HAS
c10001,m327,HAS
c10001,m328,HAS
c10001,m329,HAS
c10001,m330,HAS
c10001,m331,HAS
c10001,m332,HAS
c10001,m333,HAS
c10001,m334,HAS
c10001,m335,HAS
c10001,m336,HAS
c10001,m337,HAS
c10001,m338,HAS
c10001,m339,HAS
c10001,m340,HAS
c10001,m341,HAS
c10001,m342,HAS
c10001,m343,HAS
c10001,m344,HAS
c10001,m345,HAS
c10001,m346,HAS
c10001,m347,HAS
c10001,m348,HAS
c10001,m349,HAS
c10001,m350,HAS
c10001,m351,HAS
c10001,m352,HAS
c10001,m353,HAS
c10001,m354,HAS
c10001,m355,HAS
c10001,m356,HAS
c10001,m357,HAS
c10001,m358,HAS
c10001,m359,HAS
c10001,m360,HAS
c10001,m361,HAS
c10001,m362,HAS
c10001,m363,HAS
c10001,m364,HAS
c10001,m365,HAS
c10001,m366,HAS
c10001,m367,HAS
c10001,m368,HAS
c10001,m369,HAS
c10001,m370,HAS
c10001,m371,HAS
c10001,m372,HAS
c10001,m373,HAS
c10001,m374,HAS
c10001,m375,HAS
c10001,m376,HAS
c10001,m377,HAS
c10001,m378,HAS
c10001,m379,HAS
c10001,m380,HAS
c10001,m381,HAS
c10001,m382,HAS
c10001,m383,HAS
c10001,m384,HAS
c10001,m385,HAS
c10001,m386,HAS
c10001,m387,HAS
c10001,m388,HAS
c10001,m389,HAS
c10001,m390,HAS
c10001,m391,HAS
c10001,m392,HAS
c10001,m393,HAS
c10001,m394,HAS
c10001,m395,HAS
c10001,m396,HAS
c10001,m397,HAS
c10001,m398,HAS
c10001,m399,HAS
c10001,m400,HAS
c10001,m401,HAS
c10001,m402,HAS
c10001,m403,HAS
c10001,m404,HAS
c10001,m405,HAS
c10001,m406,HAS
c10001,m407,HAS
c10001,m408,HAS
c10001,m409,HAS
c10001,m410,HAS
c10001,m411,HAS
c10001,m412,HAS
c10001,m413,HAS
c10001,m414,HAS
c10001,m415,HAS
c10001,m416,HAS
c10001,m417,HAS
c10001,m418,HAS
c10001,m419,HAS
c10001,m420,HAS
c10001,m421,HAS
c10001,m422,HAS
c10001,m423,HAS
c10001,m424,HAS
c10001,m425,HAS
c10001,m426,HAS
c10001,m427,HAS
c10001,m428,HAS
c10001,m429,HAS
c10001,m430,HAS
c10001,m431,HAS
c10001,m432,HAS
c10001,m433,HAS
c10001,m434,HAS
c10001,m435,HAS
c10001,m436,HAS
c10001,m437,HAS
c10001,m438,HAS
c10001,m439,HAS
c10001,m440,HAS
c10001,m441,HAS
c10001,m442,HAS
c10001,m443,HAS
c10001,m444,HAS
c10001,m445,HAS
c10001,m446,HAS
c10001,m447,HAS
c10001,m448,HAS
c10001,m449,HAS
c10001,m450,HAS
c10001,m451,HAS
c10001,m452,HAS
c10001,m453,HAS
c10001,m454,HAS
c10001,m455,HAS
c10001,m456,HAS
c10001,m457,HAS
c10001,m458,HAS
c10001,m459,HAS
