major,firstDiscipline,SubjectCategory
新闻学（理工）,新闻传播学,文学
新闻学（经济新闻方向）,新闻传播学,文学
新闻学（蒙授）,新闻传播学,文学
旅游管理,旅游管理,管理学
旅游管理(中外合作办学),旅游管理,管理学
旅游管理(民族班),旅游管理,管理学
旅游管理科,旅游管理,管理学
旅游管理科类,旅游管理,管理学
旅游管理类,旅游管理,管理学
旅游管理（中法联合培养）,旅游管理,管理学
旅游管理（单列类）,旅游管理,管理学
旅游管理（单列）,旅游管理,管理学
旅游管理（少数民族）,旅游管理,管理学
旅游管理（文史）,旅游管理,管理学
旅游管理（普通类）,旅游管理,管理学
旅游管理（汉族）,旅游管理,管理学
旅游管理（理工）,旅游管理,管理学
旅游管理（蒙授）,旅游管理,管理学
无机非金属材料工程,材料科学与工程,工学
日语,外国语言文学,文学
日语 ,外国语言文学,文学
日语(零起点),外国语言文学,文学
日语（外语要求不低于110分）,外国语言文学,文学
日语（宝山校区）,外国语言文学,文学
日语（小语种,外国语言文学,文学
日语（小语种）,外国语言文学,文学
日语（提前批）,外国语言文学,文学
日语（文科）,外国语言文学,文学
日语（涉外法商）,外国语言文学,文学
日语（经贸日语）,外国语言文学,文学
日语（经贸日语）（零起点）,外国语言文学,文学
日语（蒙授）,外国语言文学,文学
日语（零起点）,外国语言文学,文学
智能制造与车辆实验班,控制科学与工程,工学
智能制造与车辆实验班(民族班),控制科学与工程,工学
智能制造工程,控制科学与工程,工学
智能医学工程,生物医学工程,工学
智能建造,建筑学,工学
智能电网信息工程,设计学,艺术学
服装设计与工程,设计学,艺术学
服装设计与工程（普通类/工）,设计学,艺术学
服装设计与工程（普通类）,设计学,艺术学
朝鲜(韩)语,外国语言文学,文学
朝鲜语,外国语言文学,文学
朝鲜语（韩语）,外国语言文学,文学
木材科学与工程,材料科学与工程,工学
木材科学与工程（中加合作办学项目）,材料科学与工程,工学
机器人工程,机械工程,工学
机械与海洋工程类,机械工程,工学
机械学,机械工程,工学
机械工程,机械工程,工学
机械工程 国家专项,机械工程,工学
机械工程（中白联合培养）,机械工程,工学
机械工程（单列）,机械工程,工学
机械工程（普通类）,机械工程,工学
机械工程（知识产权创新实践班）,机械工程,工学
机械电子工程,机械工程,工学
机械类,机械工程,工学
机械类  （机电工程类）,机械工程,工学
机械类#E,机械工程,工学
机械类(中外合作办学),机械工程,工学
机械类(含机械设计制造及其自动化、材料成型及控制工程、过程装备与控制工程专业),机械工程,工学
机械类(含机械设计制造及其自动化、车辆工程),机械工程,工学
机械类(按机械与海洋工程类培养),机械工程,工学
机械类(按机械与海洋工程类培养)(机械设计制造及其自动化、车辆工程),机械工程,工学
机械类(按机械与海洋工程类培养，含机械设计,机械工程,工学
机械类(机械与海洋工程类),机械工程,工学
机械类(机械设计与海洋工程类培养，含机械设计制造及其自动化、车辆,机械工程,工学
机械类(机电),机械工程,工学
机械类(民族班),机械工程,工学
机械类(茅以升学院),机械工程,工学
机械类(车辆),机械工程,工学
机械类（中外合作办学）,机械工程,工学
机械类（中外合作办学）（机械工程）,机械工程,工学
机械类（含机械工程、工业工程、工程力学、智能制造工程）,机械工程,工学
机械类（含机械工程、工业工程、工程力学、智能制造工程） 国家专项,机械工程,工学
机械类（含机械工程、工业工程、工程力学）,机械工程,工学
机械类（含机械工程、工业工程、工程力学） 国家专项,机械工程,工学
机械类（含机械设计制造及其自动化、农业机械化及其自动化专业）,机械工程,工学
机械类（国家专项计划）,机械工程,工学
机械类（工学Ⅰ）,机械工程,工学
机械类（按机械与海洋工程类培养）,机械工程,工学
机械类（按机械与海洋工程类培养，含机械设计制造及其自动化、车辆工,机械工程,工学
机械类（按机械与海洋工程类招生，含机械设计制造及其自动化、车辆工,机械工程,工学
机械类（普通类）,机械工程,工学
机械类（智能装备）,机械工程,工学
机械类（机械工程）,机械工程,工学
机械类（机械类创新实验班）,机械工程,工学
机械类（机械设计制造及其自动化、农业机械化及其自动化）,机械工程,工学
机械类（机械设计制造及其自动化、车辆工程）,机械工程,工学
机械类（机械设计制造及其自动化、车辆工程）（按机械与海洋工程类,机械工程,工学
机械类（机械设计制造及其自动化、车辆工程）（按机械与海洋工程类培,机械工程,工学
机械类（机电工程类）,机械工程,工学
机械类（民族）,机械工程,工学
机械类（汉）,机械工程,工学
机械类（深圳市就读）,机械工程,工学
机械类（车辆工程、工业工程、机械工程）,机械工程,工学
机械类（高端装备与智能制造、机器人）,机械工程,工学
机械类（高端装备与智能制造）,机械工程,工学
机械类）,机械工程,工学
机械设计制造及其自动化,机械工程,工学
机械设计制造及其自动化(中法校际交流),机械工程,工学
机械设计制造及其自动化(汉),机械工程,工学
机械设计制造及其自动化(闽台合作),机械工程,工学
机械设计制造及其自动化【机械设计制造及其自动化、机械设计制造及其自动化（国际班）】,机械工程,工学
机械设计制造及其自动化（中外合作办学）（大连理工大学美国加州大学欧文分校联合项目）,机械工程,工学
机械设计制造及其自动化（创新实验班）,机械工程,工学
机械设计制造及其自动化（卓越计划）,机械工程,工学
机械设计制造及其自动化（单列四年）,机械工程,工学
机械设计制造及其自动化（国家贫困专项）,机械工程,工学
机械设计制造及其自动化（教育部卓越工程师班）,机械工程,工学
机械设计制造及其自动化（日语强化）,机械工程,工学
机械设计制造及其自动化（普通类）,机械工程,工学
机械设计制造及其自动化（机械卓越计划实验班）,机械工程,工学
机械设计制造及其自动化（汉）,机械工程,工学
机械设计制造及其自动化（闽台合作）,机械工程,工学
机械设计制造及自动化,机械工程,工学
机械设计及其自动化(专项理）,机械工程,工学
机电一体化技术,机械工程,工学
材料化学,化学,理学
材料化学 ,化学,理学
材料化学（稀土材料）,材料科学与工程,工学
材料学,材料科学与工程,工学
材料成型及控制工程,材料科学与工程,工学
材料成型及控制工程 国家专项,材料科学与工程,工学
材料成型及控制工程(汉),材料科学与工程,工学
材料成型及控制工程（中白联合培养）,材料科学与工程,工学
材料成型及控制工程（单列）,材料科学与工程,工学
材料成型及控制工程（国家专项计划）,材料科学与工程,工学
材料成型及控制工程（普通类）,材料科学与工程,工学
材料成型及控制工程（材料卓越计划实验班）,材料科学与工程,工学
材料成型及控制工程（民）,材料科学与工程,工学
材料成型及控制工程（汉）,材料科学与工程,工学
材料物理,材料科学与工程,工学
材料理科,材料科学与工程,工学
材料科学与工程,材料科学与工程,工学
材料科学与工程#E,材料科学与工程,工学
材料科学与工程(材料类),材料科学与工程,工学
材料科学与工程（单列）,材料科学与工程,工学
材料科学与工程（国家专项计划）,材料科学与工程,工学
材料科学与工程（少）,材料科学与工程,工学
材料科学与工程（按材料类招生）,材料科学与工程,工学
材料科学与工程（普通类）,材料科学与工程,工学
材料科学与工程（汉）,材料科学与工程,工学
材料科学与工程（深圳市就读）,材料科学与工程,工学
材料科学与技术类,材料科学与工程,工学
材料类,材料科学与工程,工学
材料类 ,材料科学与工程,工学
材料类(先进材料及绿色制造),材料科学与工程,工学
材料类(含无机非金属材料工程、高分子材料与工程、复合材料与工程、新能源材料与器件专业),材料科学与工程,工学
材料类(材料科学与工程、高分子材料与工程、材料物理、新能源材料与,材料科学与工程,工学
材料类(材料科学与工程、高分子材料与工程、材料物理、新能源材料与器件),材料科学与工程,工学
材料类(材料科学与技术),材料科学与工程,工学
材料类(茅以升学院),材料科学与工程,工学
材料类（中外合作办学）,材料科学与工程,工学
材料类（中外合作办学）（材料科学与工程专业）,材料科学与工程,工学
材料类（中外合作办学）（材料科学与工程）,材料科学与工程,工学
材料类（含材料科学与工程、无机非金属材料工程、材料成型及控制工程）,材料科学与工程,工学
材料类（含材料科学与工程、无机非金属材料工程、材料成型及控制工程） 国家专项,材料科学与工程,工学
材料类（材料科学与工程、材料物理、纳米材料与技术）,材料科学与工程,工学
材料类（材料科学与工程、高分子材料与工程、材料物理、新能源材料与器件）,材料科学与工程,工学
材料类（材料科学与工程）,材料科学与工程,工学
材料类（材料科学与技术）,材料科学与工程,工学
材料类（特种功能先进材料及全周期绿色设计与制造）,材料科学与工程,工学
林业工程类,林业工程,工学
林业工程类(成栋班),林业工程,工学
林产化工,林业工程,工学
林学,林学,农学
林学类,林学,农学
林学类(成栋实验班),林学,农学
林学类（含林学、森林保护专业）,林学,农学
核工程与核技术,化学工程与技术,工学
核工程类,核科学与技术,工学
核工程类 ,核科学与技术,工学
核工程类（核工程与核技术、辐射防护与核安全）,核科学与技术,工学
核物理,核科学与技术,工学
核科学与技术基地班(原子核物理),核科学与技术,工学
核科学与技术基地班(原子核物理与核技术方向),核科学与技术,工学
核科学与技术基地班(放射化学方向),核科学与技术,工学
档案学,工商管理,管理学
档案学 ,工商管理,管理学
森林保护,植物保护,农学
森林工程,林业工程,工学
植物保护,植物保护,农学
植物生产类,植物保护,农学
植物生产类 国家专项,植物保护,农学
植物生产类（Ⅰ）,植物保护,农学
植物生产类（Ⅱ）,植物保护,农学
植物生产类（农学、园艺）,植物保护,农学
植物生产类（含农学、园艺、植物保护、农业资源与环境、生物技术 农学单列,植物保护,农学
植物生产类（含农学、园艺、植物保护、农业资源与环境、生物技术 国家专项,植物保护,农学
植物生产类（含农学、园艺、植物保护、农业资源与环境） 国家专项,植物保护,农学
植物科学与技术,核科学与技术,工学
民族学,民族学,法学
民族学 ,民族学,法学
水产养殖学,水产,农学
水产养殖学（国家专项计划）,水产,农学
水产类,水产,农学
水利水电工程,水利工程,工学
水利水电工程(闽台合作),水利工程,工学
水利水电工程（定向）,水利工程,工学
水利水电工程（闽台合作）,水利工程,工学
水利类,水利工程,工学
水利类 ,水利工程,工学
水利类（含水文与水资源工程、地下水科学与工程）,水利工程,工学
水利类（工学Ⅴ）,水利工程,工学
水土保持与荒漠化防治,水利工程,工学
水文与工程地质,水利工程,工学
水文与水资源工程,水利工程,工学
水文与水资源工程（普通类）,地质资源与地质工程,工学
水族科学与技术,核科学与技术,工学
水族科学与技术（国家专项计划）,核科学与技术,工学
汉文学（汉）,中国语言文学,文学
汉语国际教育,教育学,教育学
汉语国际教育（单列类）,教育学,教育学
汉语国际教育（单列）,教育学,教育学
汉语国际教育（双语类）,教育学,教育学
汉语国际教育（普通类）,教育学,教育学
汉语言,中国语言文学,文学
汉语言(民考汉南单文）,中国语言文学,文学
汉语言(民考汉南单理）,中国语言文学,文学
汉语言文学,中国语言文学,文学
汉语言文学 ,中国语言文学,文学
汉语言文学(定向),中国语言文学,文学
汉语言文学(师范),中国语言文学,文学
汉语言文学(师范类),中国语言文学,文学
汉语言文学(戏剧影视文学),戏剧与影视学,艺术学
汉语言文学(普通类),中国语言文学,文学
汉语言文学(民族班),中国语言文学,文学
汉语言文学(汉),中国语言文学,文学
汉语言文学(藏),中国语言文学,文学
汉语言文学（免费师范）,中国语言文学,文学
汉语言文学（公费师范）,中国语言文学,文学
汉语言文学（单列）,中国语言文学,文学
汉语言文学（厦门大学马来西亚分校）,中国语言文学,文学
汉语言文学（基地班）,中国语言文学,文学
汉语言文学（定向）,中国语言文学,文学
汉语言文学（师范类）,中国语言文学,文学
汉语言文学（戏剧影视文学）,戏剧与影视学,艺术学
汉语言文学（文史哲基地）,中国语言文学,文学
汉语言文学（文学/汉）,中国语言文学,文学
汉语言文学（汉）,中国语言文学,文学
汉语言文学（法商文秘）,中国语言文学,文学
汉语言文学（财经文秘方向）,中国语言文学,文学
汉语言文学（非公费师范）,中国语言文学,文学
汉语言文科学,中国语言文学,文学
汉语言（民考汉文史）,中国语言文学,文学
汽车服务工程,机械工程,工学
汽车营销与服务,电子商务,管理学
油气储运工程,电气工程,工学
油气储运工程(面向泉州),石油与天然气工程,工学
油气储运工程（面向泉州）,石油与天然气工程,工学
法医学,特种医学,医学
法医学（五年制）,特种医学,医学
法医学（单设批）,特种医学,医学
法医学（国家专项理）,特种医学,医学
法学,法学,法学
法学 ,法学,法学
法学 国家专项,法学,法学
法学(专项文）,法学,法学
法学(南单文）,法学,法学
法学(涉外法律方向),法学,法学
法学(知识产权),法学,法学
法学(经济法）,法学,法学
法学类,法学,法学
法学类(卓越法律人才实验班）,法学,法学
法学类(法学),法学,法学
法学类(法学、知识产权),法学,法学
法学类(法学、社会学),法学,法学
法学类（卓越人才实验班）,法学,法学
法学类（卓越法律人才实验班）,法学,法学
法学类（法学、知识产权）,法学,法学
法学类（法学）,法学,法学
法学试验班（国家专项文）,法学,法学
法学试验班（国家专项理）,法学,法学
法学试验班（文）,法学,法学
法学（刑事法律）,法学,法学
法学（卓越实验班）,法学,法学
法学（单列类）,法学,法学
法学（单列）,法学,法学
法学（南疆计划）,法学,法学
法学（双语类）,法学,法学
法学（国家贫困专项）,法学,法学
法学（国际经济法）,法学,法学
法学（文科）,法学,法学
法学（普通类）,法学,法学
法学（本硕贯通卓越法律人才实验班）,法学,法学
法学（民商法律）,法学,法学
法学（民考汉）,法学,法学
法学（汉）,法学,法学
法学（沪港交流涉外卓越法律人才实验班）,法学,法学
法学（沪港合作涉外卓越法律人才实验班）,法学,法学
法学（法学与会计学双学位班）,法学,法学
法学（涉外卓越商事法律人才实验班）,法学,法学
法学（涉外卓越国际金融法律人才实验班）,法学,法学
法学（涉外法务英语特色班）,法学,法学
法学（瀚德实验1班西班牙语仅，招有专业志愿考生）,法学,法学
法学（瀚德实验1班西班牙语，仅招有专业志愿考生）,法学,法学
法学（瀚德实验1班）西班牙语,法学,法学
法学（瀚德实验2班法语，仅招有专业志愿考生）,法学,法学
法学（瀚德实验2班）法语,法学,法学
法学（瀚德实验班1班）西班牙语,法学,法学
法学（瀚德实验班2班法语，仅招有专业志愿考生）,法学,法学
法学（经济法）,法学,法学
法学（蒙授）,法学,法学
法学（藏）,法学,法学
法律（民商法律）,法学,法学
法语,外国语言文学,文学
法语（中外合作办学）,外国语言文学,文学
法语（国际关系）,外国语言文学,文学
波兰语,外国语言文学,文学
波斯语,外国语言文学,文学
泰米尔语,外国语言文学,文学
泰语,外国语言文学,文学
测控技术与仪器,测绘科学与技术,工学
测控技术与仪器 ,测绘科学与技术,工学
测控技术与仪器(仪器科学与电气工程学院),控制科学与工程,工学
测控技术与仪器(通信学院),仪器科学与技术,工学
测绘工程,测绘科学与技术,工学
测绘工程（单列）,测绘科学与技术,工学
测绘工程（普通类）,测绘科学与技术,工学
测绘类,测绘科学与技术,工学
测绘类(茅以升学院),测绘科学与技术,工学
测绘类（汉）,测绘科学与技术,工学
海事管理,工商管理,管理学
海关管理,工商管理,管理学
海洋工程与技术,化学工程与技术,工学
海洋工程类,船舶与海洋工程,工学
海洋技术,海洋科学,理学
海洋技术（厦门大学马来西亚分校）,海洋科学,理学
海洋渔业科学与技术,海洋科学,理学
海洋科学,海洋科学,理学
海洋科学(菁英班),海洋科学,理学
海洋科学类,海洋科学,理学
海洋科学（厦门大学马来西亚分校）,海洋科学,理学
海洋资源与环境,海洋科学,理学
海洋资源开发技术,海洋科学,理学
消防工程,机械工程,工学
港口航道与海岸工程,船舶与海洋工程,工学
港口航道与海岸工程(定向),船舶与海洋工程,工学
港口航道与海岸工程（定向）,船舶与海洋工程,工学
烟草,草学,农学
焊接技术与工程,轻工技术与工程,工学
焊接技术与工程（国家专项计划）,轻工技术与工程,工学
焊接技术与工程（民族）（国家专项计划）,轻工技术与工程,工学
物化生组,化学,理学
物流工程,生物工程,工学
物流管理,物流管理与工程,管理学
物流管理 国家专项,物流管理与工程,管理学
物流管理(中外合作办学),物流管理与工程,管理学
物流管理(定向),物流管理与工程,管理学
物流管理(闽台合作),物流管理与工程,管理学
物流管理与工程类,物流管理与工程,管理学
物流管理科,物流管理与工程,管理学
物流管理（定向）,物流管理与工程,管理学
物流管理（文史）,物流管理与工程,管理学
物流管理（普通类）,物流管理与工程,管理学
物流管理（物流系统工程）,物流管理与工程,管理学
物流管理（理工）,物流管理与工程,管理学
物流管理（管理学创新实验班）,物流管理与工程,管理学
物流管理（闽台合作）,物流管理与工程,管理学
物理学,物理学,理学
物理学(基地班),物理学,理学
物理学(师范),物理学,理学
物理学类,物理学,理学
物理学类 ,物理学,理学
物理学类(含应用物理学、光电信息科学与工程专业),物理学,理学
物理学类(物理学、应用物理学),物理学,理学
物理学类(物理学、应用物理学) ,物理学,理学
物理学类（含物理学、应用物理学、核物理、光电信息科学与工程）,物理学,理学
物理学类（国家专项理）,物理学,理学
物理学类（应用物理学、物理学、电子信息科学与技术）,物理学,理学
物理学类（按光电技术与物理类培养）,物理学,理学
物理学类（物理学、应用物理学）,物理学,理学
物理学类（高校专项理）,物理学,理学
物理学（严济慈物理学英才班）,物理学,理学
物理学（免费师范）,物理学,理学
物理学（公费师范）,物理学,理学
物理学（协同创新实验班）,物理学,理学
物理学（单列类）,物理学,理学
物理学（基地班）,物理学,理学
物理学（基础学科拔尖人才培养实验班）,物理学,理学
物理学（师范）,物理学,理学
物理学（普通类）,物理学,理学
物理学（非公费师范）,物理学,理学
物理菁英班,物理学,理学
物联网工程,计算机科学与技术,工学
物联网工程(民),计算机科学与技术,工学
物联网工程(汉),计算机科学与技术,工学
物联网工程（中外合作办学）,计算机科学与技术,工学
物联网工程（单列四年）,计算机科学与技术,工学
物联网工程（单列类）,计算机科学与技术,工学
物联网工程（普通类）,计算机科学与技术,工学
物联网工程（汉）,计算机科学与技术,工学
特殊教育,教育学,教育学
特殊教育(师范),教育学,教育学
特殊教育（免费师范）,教育学,教育学
特殊教育（公费师范),教育学,教育学
特殊教育（公费师范）,教育学,教育学
特种能源技术与工程,轻工技术与工程,工学
环境工程,环境科学与工程,工学
环境工程 ,环境科学与工程,工学
环境工程#E,环境科学与工程,工学
环境工程(专项理）,环境科学与工程,工学
环境工程(按环境科学与工程类培养),环境科学与工程,工学
环境工程(环境科学与工程类),环境科学与工程,工学
环境工程(菁英班),环境科学与工程,工学
环境工程（国家贫困专项）,环境科学与工程,工学
环境工程（按环境科学与工程类培养）,环境科学与工程,工学
环境工程（按环境科学与工程类招生）,环境科学与工程,工学
环境工程（深圳市就读）,环境科学与工程,工学
环境生态工程,环境科学与工程,工学
环境科学,环境科学与工程,工学
环境科学与 ?工程类,环境科学与工程,工学
环境科学与工程,环境科学与工程,工学
环境科学与工程类,环境科学与工程,工学
环境科学与工程类 ,环境科学与工程,工学
环境科学与工程类 国家专项,环境科学与工程,工学
环境科学与工程类(含环境工程、安全工程专业),环境科学与工程,工学
环境科学与工程类(含环境科学、环境工程),环境科学与工程,工学
环境科学与工程类(地球科学与环境类),环境科学与工程,工学
环境科学与工程类(环境地球科学类),环境科学与工程,工学
环境科学与工程类(环境工程、环境科学),环境科学与工程,工学
环境科学与工程类（含环境科学、环境工程）,环境科学与工程,工学
环境科学与工程类（含环境科学、环境工程） 国家专项,环境科学与工程,工学
环境科学与工程类（含环境科学专业、环境工程专业、环境生态工程）,环境科学与工程,工学
环境科学与工程类（国家专项计划）,环境科学与工程,工学
环境科学与工程类（环境工程、环境生态工程）,环境科学与工程,工学
环境科学与工程类（环境科学、环境工程、环境生态工程）,环境科学与工程,工学
环境科学（单列）,环境科学与工程,工学
环境科学（含环境科学专业、环境工程专业、环境生态学）,环境科学与工程,工学
环境科学（普通类）,环境科学与工程,工学
理学与材料菁英班,材料科学与工程,工学
理学与材料菁英班(民族班),材料科学与工程,工学
理科试验班(信息与通信基础科学),信息与通信工程,工学
"理科试验班(化学,唐敖庆班)",管理科学与工程,管理学
"理科试验班(地球物理学,李四光班)",地球物理学,理学
"理科试验班(数学,唐敖庆班)",数学,理学
理科试验班(数学与信息科学),数学,理学
理科试验班(数理科学类),数学,理学
理科试验班(材料物理),物理学,理学
"理科试验班(物理学,唐敖庆班)",物理学,理学
"理科试验班(生物学,唐敖庆班)",生物学,理学
理科试验班(电子科学与技术),电子科学与技术,工学
"理科试验班(计算机,唐敖庆班)",计算机科学与技术,工学
理科试验班(资源与环境类),管理科学与工程,管理学
理科试验班类,管理科学与工程,管理学
理科试验班类(中法工程师学院),管理科学与工程,管理学
理科试验班类(化学与生命科学类),管理科学与工程,管理学
理科试验班类(匡亚明学院大理科班),管理科学与工程,管理学
理科试验班类(地球科学与资源环境类),管理科学与工程,管理学
理科试验班类(弘毅学堂),管理科学与工程,管理学
理科试验班类(高等理科学院),管理科学与工程,管理学
理科试验班类（中法工程师学院）,管理科学与工程,管理学
理科试验班类（高等理科学院）,管理科学与工程,管理学
理科试验班（信息与数学）,信息与通信工程,工学
理科试验班（化学优培计划）,化学,理学
理科试验班（化学生物H）,化学,理学
理科试验班（化学生物）,化学,理学
理科试验班（化学类）,化学,理学
理科试验班（可选专业：数学、物理、化学、生物）,物理学,理学
理科试验班（可选专业：数学、物理学、化学、生物学）,物理学,理学
理科试验班（唐敖庆班）（含数学类、物理学类、化学类、生物科学类、计算机类）,物理学,理学
理科试验班（唐敖庆班）（数学类、物理学类、化学类、生物科学类、计算机类）,物理学,理学
理科试验班（数学H）,数学,理学
理科试验班（数学类）,数学,理学
理科试验班（数学）,数学,理学
理科试验班（海洋类）,海洋科学,理学
理科试验班（物理H）,物理学,理学
理科试验班（物理、化学与心理学）,物理学,理学
理科试验班（物理类）,物理学,理学
理科试验班（物理）,物理学,理学
理科试验班（环境理工、环境经管）,环境科学与工程,工学
理科试验班（环境理工、环境经管，民考汉）,环境科学与工程,工学
理科试验班（计算机H）,计算机科学与技术,工学
理科试验班（计算机）,计算机科学与技术,工学
理科试验班（钱伟长学院（国家试点学院））,管理科学与工程,管理学
理论与应用力学 ,力学,工学
理论与应用力学(基地班),力学,工学
理论与应用力学基地班,力学,工学
瑞典语,外国语言文学,文学
生命科学与技术基地班,生物学,理学
生命科学类,生物学,理学
生态学,生态学,理学
生态学（中加合作班）,生态学,理学
生态学（单列）,生态学,理学
生态学（普通类）,生态学,理学
生物信息学,生物学,理学
生物制药,生物学,理学
生物医学工程,生物医学工程,工学
生物医学工程(电子科学与工程学院),生物医学工程,工学
生物医学工程(药学院),生物医学工程,工学
生物医学工程类,生物医学工程,工学
生物医学工程类(生物医学工程与仪器类),生物医学工程,工学
生物医学工程类（国家专项理）,生物医学工程,工学
生物医学工程类（按生物医学工程与仪器类培养）,生物医学工程,工学
生物医学工程类（生物与药学）,生物医学工程,工学
生物医学工程类（高校专项理）,生物医学工程,工学
生物医学工程（五年）,生物医学工程,工学
生物医学工程（学制七年本硕连读）,生物医学工程,工学
生物医学工程（工医理交叉国际化实验班）,生物医学工程,工学
生物医学工程（工程科学学院）,生物医学工程,工学
生物医学工程（生医卓越计划实验班）,生物医学工程,工学
生物学基地班,生物学,理学
生物工程,生物工程,工学
生物工程(中外合作办学),生物工程,工学
生物工程类,生物工程,工学
生物工程类(中外合作办学),生物工程,工学
生物工程类(含生物工程、生物科学、生物技术专业),动力工程及工程热物理,工学
生物工程类（含生物工程、生物制药、药物制剂）,动力工程及工程热物理,工学
生物工程类（工学Ⅳ）,生物工程,工学
生物工程类（绿色生物制造与生物安全）,生物工程,工学
生物工程（中外合作办学）,生物工程,工学
生物工程（卓越计划）,生物工程,工学
生物工程（单列）,生物工程,工学
生物工程（普通类）,生物工程,工学
生物技术,生物学,理学
生物技术  (  化妆品  ),生物学,理学
生物技术  (  高精尖项目  ),生物学,理学
生物技术(动科学院),生物学,理学
生物技术(生命科学与技术基地班),核科学与技术,工学
生物技术(生命科学学院),生物学,理学
生物技术(闽台合作),生物学,理学
生物技术（中加合作办学项目）,生物学,理学
生物技术（中外合作办学）,生物学,理学
生物技术（公费师范）,生物学,理学
生物技术（化妆品）,生物学,理学
生物技术（基地）,生物学,理学
生物技术（基础学科生物科学与技术实验班）,核科学与技术,工学
生物技术（基础学科生物科技实验班）,生物学,理学
生物技术（闽台合作）,生物学,理学
生物科学,生物学,理学
生物科学(基地班),生物学,理学
生物科学(师范),生物学,理学
生物科学(菁英班),生物学,理学
生物科学类,生物学,理学
生物科学类 ,生物学,理学
生物科学类(中外合作办学)(生物技术),生物学,理学
生物科学类(含生物科学(基地班)、 生物技术),生物学,理学
生物科学类(生物技术),生物学,理学
生物科学类(生物科学、生物技术),生物学,理学
生物科学类(生物科学、生物技术) ,生物学,理学
生物科学类(生物科学、生物技术)(南疆单列计划),生物学,理学
生物科学类(生物科学、生物技术)(含国家理科基地班),生物学,理学
生物科学类(生物科学、生物技术、生态学),生物学,理学
生物科学类（中外合作办学）,生物学,理学
生物科学类（含生物科学、生物技术专业）,生物学,理学
生物科学类（含生物科学、生物技术）,生物学,理学
生物科学类（含生物科学专业、生物技术、生态学）,生物学,理学
生物科学类（含生物科学专业、生物技术专业、生态学）,生物学,理学
生物科学类（生物科学、生物技术、生态学）,生物学,理学
生物科学类（生物科学、生物技术、生态学）（公费师范生）,生物学,理学
生物科学类（生物科学、生物技术）,生物学,理学
生物科学（免费师范）,生物学,理学
生物科学（公费师范）,生物学,理学
生物科学（动物学）,生物学,理学
生物科学（单列）,生物学,理学
生物科学（双语类）,生物学,理学
生物科学（基地）,生物学,理学
生物科学（师范）,生物学,理学
生物科学（普通类）,生物学,理学
生物科学（本硕博班）,生物学,理学
生物科学（理科实验班）,生物学,理学
生物科学（贝时璋菁英班）,生物学,理学
生物科学（非公费师范）,生物学,理学
电信工程及管理（中外合作办学）,信息与通信工程,工学
电子与计算机工程,信息与通信工程,工学
电子信息工程,信息与通信工程,工学
电子信息工程(实验班),信息与通信工程,工学
电子信息工程(实验班)(民族班),信息与通信工程,工学
电子信息工程(教改班),信息与通信工程,工学
电子信息工程(闽台合作),信息与通信工程,工学
电子信息工程【电子信息工程、电子信息工程（英语强化）】,信息与通信工程,工学
电子信息工程技术,电子科学与技术,工学
电子信息工程（中外合作办学 中爱）,信息与通信工程,工学
电子信息工程（中外合作办学）,信息与通信工程,工学
电子信息工程（信息类数理提高班）,信息与通信工程,工学
电子信息工程（卓越工程师班）,信息与通信工程,工学
电子信息工程（卓越计划）,信息与通信工程,工学
电子信息工程（单列）,信息与通信工程,工学
电子信息工程（厦门大学马来西亚分校）,信息与通信工程,工学
电子信息工程（含英语强化班）,信息与通信工程,工学
电子信息工程（实验班）,信息与通信工程,工学
电子信息工程（教育部卓越工程师班）,信息与通信工程,工学
电子信息工程（普通类）,信息与通信工程,工学
电子信息工程（电信卓越计划实验班）,信息与通信工程,工学
电子信息工程（知识产权创新实践班）,信息与通信工程,工学
电子信息工程（闽台合作）,信息与通信工程,工学
电子信息科学与技术,电子科学与技术,工学
电子信息科学与技术(中外合作办学),电子科学与技术,工学
电子信息科学与技术(国防生),电子科学与技术,工学
电子信息类,电子科学与技术,工学
电子信息类 ,电子科学与技术,工学
电子信息类  （自动化与电气工程类）,信息与通信工程,工学
电子信息类(中外合作办学),电子科学与技术,工学
电子信息类(信息通信),信息与通信工程,工学
电子信息类(含测控技术与仪器、电气工程及其自动化、信息工程、自动化专业),信息与通信工程,工学
电子信息类(含电子信息工程、通信工程、光电信息科学与工程),信息与通信工程,工学
电子信息类(微电子与集成电路),电子科学与技术,工学
电子信息类(民族班),电子科学与技术,工学
电子信息类(汉),电子科学与技术,工学
电子信息类(物理与光电工程),信息与通信工程,工学
电子信息类(电子信息工程),信息与通信工程,工学
电子信息类(电子信息工程、电子科学与技术、,电子科学与技术,工学
电子信息类(电子信息工程、电子科学与技术、集成电路设计与集成系统,电子科学与技术,工学
电子信息类(电子信息工程、通信工程),信息与通信工程,工学
电子信息类(电子信息工程、通信工程、光电信息科学与工程),信息与通信工程,工学
电子信息类(电子工程),信息与通信工程,工学
电子信息类(空间电子信息),信息与通信工程,工学
电子信息类(茅以升学院),电子科学与技术,工学
电子信息类(通信),信息与通信工程,工学
电子信息类(通信与控制),信息与通信工程,工学
电子信息类(通信工程、电子信息科学与技术),电子科学与技术,工学
电子信息类（中外合作办学）,电子科学与技术,工学
电子信息类（信息工程）,信息与通信工程,工学
电子信息类（光电学院）,电子科学与技术,工学
电子信息类（创新实验班）,电子商务,管理学
电子信息类（后两年在无锡培养）,电子商务,管理学
